codigo,ator_principal,orcamento_elenco
1,Viola Davis,11783666
2,Viola Davis,30312077
3,Tom Hanks,47499828
4,Leonardo DiCaprio,27114606
5,Robert De Niro,38641928
6,Leonardo DiCaprio,14325134
7,Robert De Niro,49501165
8,Viola Davis,39821763
9,Leonardo DiCaprio,10705098
10,Tom Hanks,45564509
11,Viola Davis,22240981
12,Robert De Niro,11100305
13,Cate Blanchett,10897657
14,Cate Blanchett,22233770
15,Robert De Niro,46227704
16,Cate Blanchett,18636390
17,Leonardo DiCaprio,49471795
18,Robert De Niro,31236500
19,Meryl Streep,43566686
20,Cate Blanchett,43876953
21,Leonardo DiCaprio,7539494
22,Robert De Niro,15671525
23,Viola Davis,13593444
24,Cate Blanchett,47737705
25,Leonardo DiCaprio,12146851
26,Leonardo DiCaprio,26337392
27,Meryl Streep,24359626
28,Meryl Streep,13828463
29,Viola Davis,39710837
30,Robert De Niro,25847487
31,Tom Hanks,2086577
32,Tom Hanks,21600100
33,Leonardo DiCaprio,9371518
34,Viola Davis,34496091
35,Viola Davis,31601473
36,Cate Blanchett,28540592
37,Tom Hanks,24636494
38,Leonardo DiCaprio,29578255
39,Leonardo DiCaprio,23536942
40,Robert De Niro,12798664
41,Cate Blanchett,29748337
42,Tom Hanks,12871233
43,Leonardo DiCaprio,40922513
44,Meryl Streep,37424200
45,Cate Blanchett,26606281
46,Tom Hanks,45265382
47,Viola Davis,46652941
48,Cate Blanchett,43554216
49,Tom Hanks,48116638
50,Leonardo DiCaprio,7658881
51,Robert De Niro,7966708
52,Robert De Niro,44595568
53,Robert De Niro,42356533
54,Cate Blanchett,7957531
55,Cate Blanchett,42864233
56,Leonardo DiCaprio,7690892
57,Viola Davis,30803271
58,Leonardo DiCaprio,40005925
59,Robert De Niro,45809268
60,Tom Hanks,29228730
61,Meryl Streep,15957181
62,Cate Blanchett,38016438
63,Cate Blanchett,8684039
64,Meryl Streep,32512593
65,Robert De Niro,24529285
66,Cate Blanchett,28711581
67,Viola Davis,48233564
68,Viola Davis,27562262
69,Robert De Niro,26141919
70,Meryl Streep,35061829
71,Tom Hanks,18958945
72,Viola Davis,18750232
73,Tom Hanks,28831154
74,Viola Davis,17210444
75,Robert De Niro,28820426
76,Robert De Niro,2042205
77,Robert De Niro,11292845
78,Tom Hanks,35827033
79,Viola Davis,41261672
80,Tom Hanks,23487505
81,Meryl Streep,39398849
82,Cate Blanchett,17229011
83,Leonardo DiCaprio,27263885
84,Meryl Streep,42357039
85,Viola Davis,27395106
86,Robert De Niro,39779099
87,Cate Blanchett,9648350
88,Viola Davis,27200085
89,Viola Davis,12657968
90,Cate Blanchett,22349003
91,Leonardo DiCaprio,11632973
92,Cate Blanchett,16500101
93,Robert De Niro,48648961
94,Meryl Streep,34840117
95,Robert De Niro,43375292
96,Leonardo DiCaprio,27307491
97,Viola Davis,18463747
98,Leonardo DiCaprio,11673877
99,Tom Hanks,14674275
100,Robert De Niro,7258935
101,Robert De Niro,30354829
102,Robert De Niro,43204370
103,Leonardo DiCaprio,11270918
104,Robert De Niro,42479964
105,Viola Davis,37485242
106,Robert De Niro,39372434
107,Cate Blanchett,2697174
108,Viola Davis,9760928
109,Cate Blanchett,43578101
110,Viola Davis,25033117
111,Meryl Streep,17087463
112,Viola Davis,15881741
113,Tom Hanks,14007638
114,Leonardo DiCaprio,17458745
115,Viola Davis,26374328
116,Tom Hanks,45242035
117,Robert De Niro,19452577
118,Robert De Niro,10648209
119,Viola Davis,2552954
120,Viola Davis,39879827
121,Robert De Niro,8444488
122,Cate Blanchett,40989799
123,Robert De Niro,8185792
124,Meryl Streep,19955773
125,Tom Hanks,13121719
126,Robert De Niro,6192979
127,Cate Blanchett,25252963
128,Meryl Streep,27226158
129,Robert De Niro,33952932
130,Robert De Niro,28765965
131,Robert De Niro,33649622
132,Viola Davis,6121257
133,Meryl Streep,47126365
134,Cate Blanchett,26182894
135,Tom Hanks,43516941
136,Cate Blanchett,11811482
137,Meryl Streep,21049107
138,Robert De Niro,12990815
139,Viola Davis,39070445
140,Viola Davis,41711918
141,Robert De Niro,8865637
142,Tom Hanks,24272261
143,Cate Blanchett,42205177
144,Leonardo DiCaprio,37673838
145,Robert De Niro,11629256
146,Leonardo DiCaprio,18079274
147,Robert De Niro,13941626
148,Leonardo DiCaprio,2983418
149,Leonardo DiCaprio,2546065
150,Leonardo DiCaprio,35342606
151,Meryl Streep,15516085
152,Tom Hanks,8703322
153,Meryl Streep,2979551
154,Tom Hanks,10298941
155,Meryl Streep,6599748
156,Viola Davis,47412605
157,Meryl Streep,18957696
158,Tom Hanks,33317942
159,Meryl Streep,7171991
160,Tom Hanks,48518684
161,Leonardo DiCaprio,44749914
162,Tom Hanks,32342775
163,Viola Davis,34272689
164,Cate Blanchett,35403798
165,Cate Blanchett,13955650
166,Tom Hanks,12607116
167,Meryl Streep,47107645
168,Viola Davis,19863144
169,Cate Blanchett,7905139
170,Leonardo DiCaprio,40431751
171,Tom Hanks,12116792
172,Meryl Streep,49456649
173,Cate Blanchett,30089791
174,Cate Blanchett,29436530
175,Leonardo DiCaprio,19231728
176,Tom Hanks,42802847
177,Robert De Niro,41754921
178,Cate Blanchett,29810706
179,Meryl Streep,39060257
180,Tom Hanks,26096063
181,Viola Davis,5312835
182,Cate Blanchett,12223893
183,Robert De Niro,35316574
184,Tom Hanks,40384128
185,Cate Blanchett,20694676
186,Leonardo DiCaprio,44291791
187,Leonardo DiCaprio,24639321
188,Cate Blanchett,3009236
189,Robert De Niro,13073168
190,Tom Hanks,29815660
191,Meryl Streep,25007828
192,Meryl Streep,5874810
193,Meryl Streep,45087477
194,Tom Hanks,25962100
195,Meryl Streep,22102576
196,Robert De Niro,1646459
197,Tom Hanks,47190522
198,Robert De Niro,49103809
199,Tom Hanks,15346024
