codigo_filme;titulo;diretor;ano;genero;duracao;orcamento;faturamento;nota;elenco_principal
1;Avatar ;James Cameron;2009;Ação;81;237000000;760505847;7,9;Viola Davis
2;Pirates of the Caribbean: At World's End ;Gore Verbinski;2007;Aventura;126;300000000;309404152;7,1;Cate Blanchett
3;Spectre ;Sam Mendes;2015;Comédia;88;245000000;200074175;6,8;Natalie Portman
4;The Dark Knight Rises ;Christopher Nolan;2012;Mistério;99;250000000;448130642;8,5;Cate Blanchett
5;John Carter ;Andrew Stanton;2012;Fantasia;92;263700000;73058679;6,6;Tom Hanks
6;Spider-Man 3 ;Sam Raimi;2007;Drama;95;258000000;336530303;6,2;Viola Davis
7;Tangled ;Nathan Greno;2010;Terror;39;260000000;200807262;7,8;Viola Davis
8;Avengers: Age of Ultron ;Joss Whedon;2015;Mistério;111;250000000;458991599;7,5;Robert De Niro
9;Harry Potter and the Half-Blood Prince ;David Yates;2009;Ficção científica;82;250000000;301956980;7,5;Natalie Portman
10;Batman v Superman: Dawn of Justice ;Zack Snyder;2016;Terror;89;250000000;330249062;6,9;Tom Hanks
11;Superman Returns ;Bryan Singer;2006;Fantasia;77;209000000;200069408;6,1;Robert De Niro
12;Quantum of Solace ;Marc Forster;2008;Terror;102;200000000;168368427;6,7;Meryl Streep
13;Pirates of the Caribbean: Dead Man's Chest ;Gore Verbinski;2006;Thriller;98;225000000;423032628;7,3;Robert De Niro
14;The Lone Ranger ;Gore Verbinski;2013;Ficção científica;129;215000000;89289910;6,5;Tom Hanks
15;Man of Steel ;Zack Snyder;2013;Drama;123;225000000;291021565;7,2;Tom Hanks
16;The Chronicles of Narnia: Prince Caspian ;Andrew Adamson;2008;Mistério;117;225000000;141614023;6,6;Viola Davis
17;The Avengers ;Joss Whedon;2012;Ação;53;220000000;623279547;8,1;Cate Blanchett
18;Pirates of the Caribbean: On Stranger Tides ;Rob Marshall;2011;Drama;113;250000000;241063875;6,7;Meryl Streep
19;Men in Black 3 ;Barry Sonnenfeld;2012;Ação;57;225000000;179020854;6,8;Tom Hanks
20;The Hobbit: The Battle of the Five Armies ;Peter Jackson;2014;Fantasia;164;250000000;255108370;7,5;Leonardo DiCaprio
21;The Amazing Spider-Man ;Marc Webb;2012;Mistério;107;230000000;262030663;7,0;Robert De Niro
22;Robin Hood ;Ridley Scott;2010;Thriller;74;200000000;105219735;6,7;Cate Blanchett
23;The Hobbit: The Desolation of Smaug ;Peter Jackson;2013;Romance;105;225000000;258355354;7,9;Tom Hanks
24;The Golden Compass ;Chris Weitz;2007;Família;110;180000000;70083519;6,1;Leonardo DiCaprio
25;King Kong ;Peter Jackson;2005;Romance;131;207000000;218051260;7,2;Tom Hanks
26;Titanic ;James Cameron;1997;Thriller;134;200000000;658672302;7,7;Meryl Streep
28;Battleship ;Peter Berg;2012;Ficção científica;129;209000000;65173160;5,9;Viola Davis
29;Jurassic World ;Colin Trevorrow;2015;Ação;58;150000000;652177271;7,0;Leonardo DiCaprio
